FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
030608;0000;;87,2806;;
030609;0000;;64,4409;;
030610;0000;;47,7271;;
030611;0000;;11,9877;;
030612;0000;;31,8955;;
030613;0000;;15,3405;;
030614;0000;;15,8988;;
030615;0000;;13,6393;;
030616;0000;;40,4044;;
030617;0000;;18,9944;;
030618;0000;;12,5227;;
030619;0000;;12,2793;;
030620;0000;;50,038;;
030621;0000;;33,4617;;
030622;0000;;34,2476;;
030623;0000;;44,1059;;
030624;0000;;73,6783;;
030625;0000;;50,2047;;
030626;0000;;23,9289;;
030627;0000;;37,1342;;
030628;0000;;78,3033;;
030629;0000;;35,0652;;
030630;0000;;36,0732;;
030701;0000;;44,0663;;
030702;0000;;22,9076;;
030703;0000;;95,0488;;
030704;0000;;97,4287;;
030705;0000;;91,797;;
030706;0000;;30,2445;;
030707;0000;;16,0575;;
030708;0000;;78,8271;;
030709;0000;;176,273;;
030710;0000;;138,861;;
030711;0000;;181,393;;
030712;0000;;290,163;;
030713;0000;;40,3307;;
030714;0000;;36,8193;;
030715;0000;;60,2932;;
030716;0000;;132,118;;
030717;0000;;48,691;;
030718;0000;;21,5688;;
030719;0000;;8,2206;;
030720;0000;;55,2158;;
030721;0000;;61,1081;;
030722;0000;;77,1772;;
030723;0000;;39,2641;;
030724;0000;;83,0393;;
030725;0000;;104,06;;
030726;0000;;148,931;;
030727;0000;;119,147;;
030728;0000;;118,38;;
030729;0000;;168,867;;
030730;0000;;145,563;;
030731;0000;;20,6672;;
030801;0000;;32,4021;;
030802;0000;;81,5626;;
030803;0000;;45,9171;;
030804;0000;;59,7224;;
030805;0000;;53,7968;;
030806;0000;;49,5756;;
030807;0000;;45,6174;;
030808;0000;;76,8804;;
030809;0000;;73,2347;;
030810;0000;;24,7064;;
030811;0000;;35,2733;;
030812;0000;;31,5952;;
030813;0000;;97,1001;;
030814;0000;;91,8911;;
030815;0000;;104,534;;
030816;0000;;92,9315;;
030817;0000;;22,2291;;
030818;0000;;20,4026;;
030819;0000;;29,415;;
030820;0000;;25,2067;;
030821;0000;;63,0231;;
030822;0000;;160,338;;
030823;0000;;46,2618;;
030824;0000;;34,8264;;
030825;0000;;30,9535;;
030826;0000;;33,025;;
030827;0000;;71,2914;;
030828;0000;;68,9722;;
030829;0000;;80,2426;;
030830;0000;;33,9143;;
030831;0000;;30,0125;;
030901;0000;;33,7218;;
030902;0000;;55,0228;;
030903;0000;;34,5377;;
030904;0000;;16,225;;
030905;0000;;14,2312;;
030906;0000;;30,4127;;
030907;0000;;41,6716;;
030908;0000;;50,0293;;
030909;0000;;71,5022;;
030910;0000;;50,593;;
030911;0000;;10,7708;;
030912;0000;;41,7816;;
030913;0000;;32,4545;;
030914;0000;;24,7683;;
030915;0000;;68,0234;;
030916;0000;;42,515;;
030917;0000;;17,3846;;
030918;0000;;19,6533;;
030919;0000;;28,4258;;
030920;0000;;35,1037;;
030921;0000;;32,8235;;
030922;0000;;17,4625;;
030923;0000;;32,3193;;
030924;0000;;30,1537;;
030925;0000;;41,7358;;
030926;0000;;21,1177;;
030927;0000;;47,6964;;
030928;0000;;44,6003;;
030929;0000;;47,8339;;
030930;0000;;30,3187;;
031001;0000;;29,3127;;
031002;0000;;32,851;;
031003;0000;;52,9764;;
031004;0000;;37,5054;;
