FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100704;0000;;;;
100705;0000;;;;
100706;0000;;;;
100707;0000;;;;
100708;0000;;;;
100709;0000;;;;
100710;0000;;;;
100711;0000;;;;
100712;0000;;;;
100713;0000;;;;
100714;0000;;;;
100715;0000;;;;
100716;0000;;;;
100717;0000;;;;
100718;0000;;;;
100719;0000;;;;
100720;0000;;;;
100721;0000;;;;
100722;0000;;;;
100723;0000;;;;
100724;0000;;;;
100725;0000;;;;
100726;0000;;;;
100727;0000;;;;
100728;0000;;;;
100729;0000;;;;
100730;0000;;;;
100731;0000;;;;
100801;0000;;;;
100802;0000;;;;
100803;0000;;;;
100804;0000;;;;
100805;0000;;;;
100806;0000;;;;
100807;0000;;;;
100808;0000;;;;
100809;0000;;;;
100810;0000;;;;
100811;0000;;;;
100812;0000;;;;
100813;0000;;;;
100814;0000;;;;
100815;0000;;;;
100816;0000;;;;
100817;0000;;;;
100818;0000;;;;
100819;0000;;;;
100820;0000;;;;
100821;0000;;;;
100822;0000;;;;
100823;0000;;;;
100824;0000;;;;
100825;0000;;;;
100826;0000;;29,275;;
100827;0000;;15,2667;;
100828;0000;;96,125;;
100829;0000;;;;
100830;0000;;;;
100831;0000;;74,3999;;
100901;0000;;;;
100902;0000;;;;
100903;0000;;;;
100904;0000;;;;
100905;0000;;;;
100906;0000;;;;
100907;0000;;26,0391;;
100908;0000;;38,1666;;
100909;0000;;57,6136;;
100910;0000;;61,4999;;
100911;0000;;60,1292;;
100912;0000;;59,0333;;
100913;0000;;48,035;;
100914;0000;;59,4041;;
100915;0000;;105,617;;
100916;0000;;65,1292;;
100917;0000;;95,6416;;
100918;0000;;67,2958;;
100919;0000;;45,7542;;
100920;0000;;45,7;;
100921;0000;;60,9083;;
100922;0000;;80,8666;;
100923;0000;;63,5541;;
100924;0000;;49,9166;;
100925;0000;;67,9791;;
100926;0000;;35,2875;;
100927;0000;;;;
100928;0000;;;;
100929;0000;;;;
100930;0000;;;;
101001;0000;;;;
101002;0000;;;;
101003;0000;;;;
101004;0000;;;;
101005;0000;;;;
101006;0000;;42,3773;;
101007;0000;;;;
101008;0000;;;;
101009;0000;;24,85;;
101010;0000;;17,1292;;
101011;0000;;14,3;;
101012;0000;;16,7333;;
101013;0000;;18,913;;
101014;0000;;;;
101015;0000;;23,2417;;
101016;0000;;27,6792;;
101017;0000;;26,2333;;
101018;0000;;30,9792;;
101019;0000;;17,5583;;
101020;0000;;;;
101021;0000;;;;
101022;0000;;14,6417;;
101023;0000;;25,2542;;
101024;0000;;39,6791;;
101025;0000;;15,9667;;
101026;0000;;16,3167;;
101027;0000;;10,5667;;
101028;0000;;17,2333;;
101029;0000;;14,7625;;
101030;0000;;17,65;;
101031;0000;;18,075;;
101101;0000;;19;;
101102;0000;;12,1958;;
101103;0000;;14,2083;;
101104;0000;;13,9041;;
101105;0000;;17,475;;
101106;0000;;14,6666;;
101107;0000;;15,6375;;
101108;0000;;23,7375;;
101109;0000;;19,6417;;
101110;0000;;12,7667;;
101111;0000;;12,9583;;
101112;0000;;12,4917;;
101113;0000;;11,425;;
101114;0000;;14,225;;
101115;0000;;13,5583;;
101116;0000;;11,4739;;
101117;0000;;10,1875;;
101118;0000;;9,33635;;
101119;0000;;16,0417;;
101120;0000;;15,2167;;
101121;0000;;16,325;;
101122;0000;;11,975;;
101123;0000;;13,7625;;
101124;0000;;13,2083;;
101125;0000;;14,2917;;
101126;0000;;12,2542;;
101127;0000;;14,6542;;
101128;0000;;17,0833;;
101129;0000;;16,3792;;
101130;0000;;17,1458;;
101201;0000;;15,4833;;
101202;0000;;16,4625;;
101203;0000;;20,5667;;
101204;0000;;12,825;;
101205;0000;;9,89999;;
101206;0000;;12,7375;;
101207;0000;;12,5417;;
101208;0000;;14,8125;;
101209;0000;;12,5182;;
101210;0000;;15,625;;
101211;0000;;27,5458;;
101212;0000;;31,3167;;
101213;0000;;12,8833;;
101214;0000;;11,7542;;
101215;0000;;8,73749;;
101216;0000;;10,5;;
101217;0000;;13,45;;
101218;0000;;15,6792;;
101219;0000;;15,3375;;
101220;0000;;14,7;;
101221;0000;;9,96666;;
101222;0000;;9,81665;;
101223;0000;;11,9041;;
101224;0000;;11,7833;;
101225;0000;;10,4208;;
101226;0000;;11,6625;;
101227;0000;;13,1458;;
101228;0000;;13,75;;
101229;0000;;12,7791;;
101230;0000;;19,0416;;
101231;0000;;18,1208;;
110101;0000;;13,6958;;
110102;0000;;15,5208;;
110103;0000;;12,7292;;
110104;0000;;13,3375;;
110105;0000;;13,6208;;
110106;0000;;13,175;;
110107;0000;;17,8684;;
110108;0000;;;;
110109;0000;;21,4;;
110110;0000;;;;
110111;0000;;30,7667;;
110112;0000;;;;
110113;0000;;43,1666;;
