FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
060225;0000;;2,79166;;
060226;0000;;4,44166;;
060227;0000;;9,77083;;
060228;0000;;5,72916;;
060301;0000;;6,33333;;
060302;0000;;5,82916;;
060303;0000;;4,8625;;
060304;0000;;11,8667;;
060305;0000;;8,7625;;
060306;0000;;6,94582;;
060307;0000;;10,4435;;
060308;0000;;5,13332;;
060309;0000;;11,0913;;
060310;0000;;16,1375;;
060311;0000;;17,0478;;
060312;0000;;16,5667;;
060313;0000;;7,84999;;
060314;0000;;11,3;;
060315;0000;;14,05;;
060316;0000;;13,6333;;
060317;0000;;16,5916;;
060318;0000;;18,6541;;
060319;0000;;6,26666;;
060320;0000;;8,48332;;
060321;0000;;7,96666;;
060322;0000;;18,075;;
060323;0000;;15,15;;
060324;0000;;25,0291;;
060325;0000;;18,6166;;
060326;0000;;11,1708;;
060327;0000;;12,875;;
060328;0000;;10,3667;;
060329;0000;;16,6875;;
060330;0000;;16,8;;
060331;0000;;10,3542;;
060401;0000;;10,6792;;
060402;0000;;9,75415;;
060403;0000;;15,7542;;
060404;0000;;18,0416;;
060405;0000;;21,7917;;
060406;0000;;16,6917;;
060407;0000;;23,0416;;
060408;0000;;15,1917;;
060409;0000;;4,85416;;
060410;0000;;5,97083;;
060411;0000;;12,3792;;
060412;0000;;7,175;;
060413;0000;;11,6217;;
060414;0000;;10,375;;
060415;0000;;12,8375;;
060416;0000;;19,625;;
060417;0000;;35,4417;;
060418;0000;;6,99166;;
060419;0000;;0,704347;;
060420;0000;;18,8083;;
060421;0000;;16,4778;;
060422;0000;;;0;
060423;0000;;;0;
060424;0000;;;;
060425;0000;;;;
060426;0000;;17,1;;
060427;0000;;24,5291;;
060428;0000;;12,0833;;
060429;0000;;20,2833;;
060430;0000;;25,1625;;
060501;0000;;29,8625;;
060502;0000;;29,9083;;
060503;0000;;6,45;;
060504;0000;;8,78749;;
060505;0000;;28,8041;;
060506;0000;;34,6166;;
060507;0000;;31,9125;;
060508;0000;;26,2542;;
060509;0000;;7,19523;;
060510;0000;;21,1791;;
060511;0000;;40,4874;;
060512;0000;;29,9458;;
060513;0000;;14,9208;;
060514;0000;;7,30833;;
060515;0000;;11,0542;;
060516;0000;;9,81665;;
060517;0000;;10,3291;;
060518;0000;;;18,4083;
060519;0000;;;40,9166;
060520;0000;;44,6363;;
060521;0000;;;38,1458;
060522;0000;;56,2291;;
060523;0000;;26,9285;;
060524;0000;;8,41666;;
060525;0000;;6,53749;;
060526;0000;;23,7458;;
060527;0000;;50,6791;;
060528;0000;;22,8041;;
060529;0000;;46,8291;;
060530;0000;;22,5541;;
060531;0000;;7,41666;;
060601;0000;;21,7458;;
060602;0000;;40,8208;;
060603;0000;;22,9792;;
060604;0000;;11,8958;;
060605;0000;;10,0791;;
060606;0000;;6,175;;
060607;0000;;5,12083;;
060608;0000;;26,75;;
060609;0000;;74,0415;;
060610;0000;;38,9666;;
060611;0000;;4,08749;;
060612;0000;;9,99165;;
060613;0000;;35,1;;
060614;0000;;36,6086;;
060615;0000;;19,225;;
060616;0000;;13,0583;;
060617;0000;;6,68749;;
060618;0000;;4,31666;;
060619;0000;;4,70416;;
060620;0000;;8,71249;;
060621;0000;;29,6375;;
060622;0000;;29,3375;;
060623;0000;;15,8667;;
060624;0000;;11,4375;;
060625;0000;;18,0208;;
060626;0000;;12,6542;;
060627;0000;;36,1833;;
060628;0000;;27,2833;;
060629;0000;;21,9;;
060630;0000;;18,9174;;
060701;0000;;4,67083;;
060702;0000;;19,2;;
060703;0000;;40,9782;;
060704;0000;;43,4041;;
060705;0000;;21,3833;;
060706;0000;;7,10416;;
060707;0000;;5,19582;;
060708;0000;;13,7916;;
060709;0000;;3,79583;;
060710;0000;;2,6375;;
060711;0000;;9,57825;;
060712;0000;;8,84999;;
060713;0000;;30,65;;
060714;0000;;42,8499;;
060715;0000;;25,7958;;
060716;0000;;14,65;;
060717;0000;;14,8292;;
060718;0000;;28,9666;;
060719;0000;;;16,775;
060720;0000;;;7,12499;
060721;0000;;4;;
060722;0000;;13,5375;;
060723;0000;;4,825;;
060724;0000;;2,09166;;
060725;0000;;13,4792;;
060726;0000;;16,4875;;
060727;0000;;21,2208;;
060728;0000;;42,8166;;
060729;0000;;54,9999;;
060730;0000;;41,6124;;
060731;0000;;63,459;;
060801;0000;;34,6041;;
060802;0000;;14,5458;;
060803;0000;;17,1583;;
060804;0000;;21,1292;;
060805;0000;;27,1;;
060806;0000;;3,55833;;
060807;0000;;4,8;;
060808;0000;;3,88333;;
060809;0000;;9,29999;;
060810;0000;;2,68333;;
060811;0000;;3,41666;;
060812;0000;;17,8792;;
060813;0000;;2,46666;;
060814;0000;;16,2916;;
060815;0000;;19,8083;;
060816;0000;;25,725;;
060817;0000;;23,8869;;
060818;0000;;23,4333;;
060819;0000;;25,0667;;
060820;0000;;7,82915;;
060821;0000;;14,7583;;
060822;0000;;13,8667;;
060823;0000;;23,8208;;
060824;0000;;28,5041;;
060825;0000;;10,5042;;
060826;0000;;12,3291;;
060827;0000;;8,49582;;
060828;0000;;12,6583;;
060829;0000;;10,1167;;
060830;0000;;3,09565;;
060831;0000;;8,47083;;
060901;0000;;18,3208;;
060902;0000;;25,5291;;
060903;0000;;13,5166;;
060904;0000;;39,7208;;
060905;0000;;38,7916;;
060906;0000;;18,6;;
060907;0000;;15,7041;;
060908;0000;;13,4375;;
060909;0000;;4,46666;;
060910;0000;;4,51666;;
060911;0000;;9,56248;;
060912;0000;;13,1292;;
060913;0000;;9,77081;;
060914;0000;;12,225;;
060915;0000;;14,7166;;
060916;0000;;8,58333;;
060917;0000;;10,325;;
060918;0000;;7,72083;;
060919;0000;;8,76665;;
060920;0000;;7,52916;;
060921;0000;;4,76666;;
060922;0000;;6,925;;
060923;0000;;14,8875;;
060924;0000;;17,4625;;
060925;0000;;14,125;;
060926;0000;;6,57082;;
060927;0000;;11,5375;;
060928;0000;;7,69582;;
060929;0000;;5,35909;;
060930;0000;;11,6869;;
061001;0000;;8,36665;;
061002;0000;;19,6833;;
061003;0000;;16,4541;;
061004;0000;;11,9417;;
061005;0000;;11,8208;;
061006;0000;;10,7917;;
061007;0000;;9,25832;;
061008;0000;;5,02499;;
061009;0000;;11,5417;;
061010;0000;;3,27083;;
061011;0000;;9,31665;;
061012;0000;;8,03157;;
061013;0000;;6,27083;;
061014;0000;;4,2625;;
061015;0000;;6,78749;;
061016;0000;;5,97083;;
061017;0000;;8,19165;;
061018;0000;;6,14583;;
061019;0000;;12,2583;;
061020;0000;;7,66249;;
061021;0000;;10,32;;
061022;0000;;7,19999;;
061023;0000;;6,93333;;
061024;0000;;4,39999;;
061025;0000;;9,14583;;
061026;0000;;8,45416;;
061027;0000;;4,72916;;
061028;0000;;6,78333;;
061029;0000;;5,49583;;
061030;0000;;8,59166;;
061031;0000;;13,1263;;
061101;0000;;5,78749;;
061102;0000;;6,42916;;
061103;0000;;6,99166;;
061104;0000;;5,44583;;
061105;0000;;2,425;;
061106;0000;;5,78749;;
061107;0000;;4,87499;;
061108;0000;;4,98333;;
061109;0000;;4,44582;;
061110;0000;;12,9292;;
061111;0000;;3,38333;;
061112;0000;;6,25416;;
061113;0000;;13,65;;
061114;0000;;4,05;;
061115;0000;;5,66249;;
061116;0000;;10,5208;;
061117;0000;;7,0409;;
061118;0000;;8,08749;;
061119;0000;;5,52499;;
061120;0000;;6,30833;;
061121;0000;;9,75415;;
061122;0000;;6,86666;;
061123;0000;;7,10416;;
061124;0000;;7,42083;;
061125;0000;;7,79166;;
061126;0000;;4,80833;;
061127;0000;;5,49583;;
061128;0000;;5,40416;;
061129;0000;;5,26249;;
061130;0000;;5,47083;;
061201;0000;;5,87272;;
061202;0000;;7,43333;;
061203;0000;;3,25;;
061204;0000;;3,14583;;
061205;0000;;2,925;;
061206;0000;;3,22083;;
061207;0000;;4,425;;
061208;0000;;5,00416;;
061209;0000;;2,725;;
061210;0000;;1,21667;;
061211;0000;;3,02083;;
061212;0000;;7,8;;
061213;0000;;8,87915;;
061214;0000;;10,3174;;
061215;0000;;6,7;;
061216;0000;;2,62083;;
061217;0000;;6,16666;;
061218;0000;;2,6125;;
061219;0000;;6,44999;;
061220;0000;;8,50832;;
061221;0000;;4,2375;;
061222;0000;;5,21738;;
061223;0000;;4,25416;;
061224;0000;;3,9875;;
061225;0000;;5,25832;;
061226;0000;;3,00417;;
061227;0000;;6,57499;;
061228;0000;;7,84999;;
061229;0000;;7,78749;;
061230;0000;;2,39166;;
061231;0000;;2,04166;;
070101;0000;;1,92083;;
